iter	RMSE
0	0.03842536777
1	0.03840117768
2	0.03837631856
3	0.03834824756
4	0.03832376682
5	0.03830080408
6	0.03828138174
7	0.03825531198
8	0.03822602183
9	0.03820437534
10	0.03818283419
11	0.03815680068
12	0.03813311954
13	0.03811567634
14	0.0380917758
15	0.03807469523
16	0.0380611876
17	0.03803784074
18	0.03801853467
19	0.03800358011
20	0.03797967393
21	0.03796078691
22	0.03794354347
23	0.03792253091
24	0.0379042872
25	0.03788892726
26	0.03787408211
27	0.03786073888
28	0.03784410831
29	0.03782732513
30	0.03781035873
31	0.03779215215
32	0.03777489652
33	0.03776275323
34	0.03775327013
35	0.03773711173
36	0.03772857017
37	0.03771841425
38	0.03770884085
39	0.03769461178
40	0.03768015894
41	0.03766579955
42	0.03765478142
43	0.03764357236
44	0.03762328354
45	0.03760923096
46	0.03759777147
47	0.03758629977
48	0.03756382499
49	0.03755203519
50	0.03753701343
51	0.03752600359
52	0.03751340241
53	0.03750242466
54	0.03748763109
55	0.037477723
56	0.03746322523
57	0.0374535694
58	0.03743807873
59	0.03742673358
60	0.03741634782
61	0.03741127168
62	0.03739822049
63	0.03738595925
64	0.03737015396
65	0.03735926446
66	0.03735124638
67	0.03734486562
68	0.03733407619
69	0.03732807033
70	0.03731733295
71	0.03730748821
72	0.03729743008
73	0.0372908282
74	0.03728167176
75	0.03727390093
76	0.03726804872
77	0.03725967326
78	0.03725056838
79	0.03724269975
80	0.03723565434
81	0.0372261899
82	0.03721600539
83	0.03720411356
84	0.03719272796
85	0.03717783744
86	0.03716815766
87	0.03715262853
88	0.03714273335
89	0.03713654012
90	0.03713028586
91	0.03711938735
92	0.03711111559
93	0.03710211467
94	0.03709148226
95	0.03707652426
96	0.03706386562
97	0.03705523665
98	0.03704748708
99	0.03703987874
100	0.03702945952
101	0.03702016893
102	0.0370140482
103	0.03700374449
104	0.03699271151
105	0.03698239302
106	0.03697675276
107	0.03696608398
108	0.03695895716
109	0.0369485482
110	0.03694153271
111	0.0369371514
112	0.03692347675
113	0.03691434316
114	0.03690751016
115	0.03689654983
116	0.03688814716
117	0.03688175778
118	0.0368693036
119	0.0368603595
120	0.03685514877
121	0.03684513477
122	0.03683875257
123	0.03682998177
124	0.0368229003
125	0.03680935805
126	0.03680223633
127	0.03679390229
128	0.03678704195
129	0.03677759757
130	0.03677303615
131	0.03676592364
132	0.03675636669
133	0.03675053668
134	0.03674262375
135	0.03673529066
136	0.03672669767
137	0.03671742676
138	0.03670911462
139	0.03670364097
140	0.03669855782
141	0.03669398279
142	0.03668134189
143	0.03667263915
144	0.03666816456
145	0.03666257887
146	0.03665519561
147	0.03664747563
148	0.03664009183
149	0.03663302277
150	0.03662369021
151	0.03661753959
152	0.03661327869
153	0.03660785222
154	0.03660269495
155	0.03659769184
156	0.03659003877
157	0.03658646164
158	0.03657988849
159	0.03657187209
160	0.03656077841
161	0.03655349229
162	0.03654611452
163	0.03654180573
164	0.03653475575
165	0.03652762518
166	0.03652198759
167	0.03651409206
168	0.03650502002
169	0.03649939089
170	0.03649237697
171	0.03648490188
172	0.03647618686
173	0.03646802967
174	0.03646282042
175	0.03645641313
176	0.03645294233
177	0.0364486725
178	0.03644129597
179	0.03643506547
180	0.03643085065
181	0.03642635423
182	0.03641882429
183	0.03641236302
184	0.03640620466
185	0.03640028702
186	0.03639438521
187	0.03638793568
188	0.03638034237
189	0.03637396341
190	0.03636687484
191	0.03635620329
192	0.03634718664
193	0.03634194074
194	0.03633444006
195	0.0363286803
196	0.0363221853
197	0.03631732299
198	0.03630921713
199	0.03630548706
200	0.03630186772
201	0.03629519498
202	0.03628733577
203	0.03628218196
204	0.03627637674
205	0.03627044332
206	0.03626768119
207	0.03626436731
208	0.03625747283
209	0.03625185353
210	0.03624410884
211	0.03623709852
212	0.03623139306
213	0.03622378631
214	0.03621655949
215	0.03621262858
216	0.03620580381
217	0.03619722475
218	0.03619215081
219	0.03618388716
220	0.0361787989
221	0.03617495088
222	0.03616838615
223	0.03616222608
224	0.03615693501
225	0.03615086764
226	0.03614775599
227	0.03614075323
228	0.03613732582
229	0.03613015976
230	0.03612198215
231	0.03611659707
232	0.03611117808
233	0.03610729967
234	0.03610023895
235	0.03609421623
236	0.0360892295
237	0.03608117461
238	0.03607503829
239	0.03606726577
240	0.03606133622
241	0.03605572081
242	0.03605088483
243	0.03604359702
244	0.03603609997
245	0.03602907088
246	0.03602331132
247	0.03601463395
248	0.03600333659
249	0.03599660474
250	0.03599355579
251	0.0359903813
252	0.03598332747
253	0.03597927546
254	0.03597224576
255	0.03596939609
256	0.03596473683
257	0.03596036298
258	0.03595353847
259	0.03594791816
260	0.03594297866
261	0.03593714665
262	0.03592832014
263	0.03592142736
264	0.03591477341
265	0.03591066709
266	0.03590486252
267	0.03589892217
268	0.03589426255
269	0.03588405343
270	0.03587832406
271	0.03587375011
272	0.03586691365
273	0.03585824441
274	0.03585254198
275	0.03584547211
276	0.03583937218
277	0.03583016293
278	0.03582341241
279	0.03581822468
280	0.03581212313
281	0.03580737847
282	0.03580020316
283	0.03579207147
284	0.03578786874
285	0.03578224759
286	0.03577821913
287	0.03577222482
288	0.03576823499
289	0.03576065997
290	0.03575505337
291	0.03574798423
292	0.03574006852
293	0.03573628806
294	0.0357292953
295	0.03572256256
296	0.03571910946
297	0.03571521304
298	0.03570920356
299	0.03570280335
300	0.03569802888
301	0.03569321633
302	0.03569039257
303	0.03568465519
304	0.03567895427
305	0.03567392372
306	0.03566880941
307	0.03566420851
308	0.03566007601
309	0.03565136428
310	0.03563935092
311	0.03563235815
312	0.03562666668
313	0.03561924954
314	0.03561024818
315	0.03560553468
316	0.03559906648
317	0.03559446361
318	0.03558660272
319	0.03558265737
320	0.03557246227
321	0.03556810415
322	0.03556147294
323	0.03555631096
324	0.03555148606
325	0.03554695523
326	0.03554005027
327	0.0355349125
328	0.03553056008
329	0.03552692851
330	0.03552217049
331	0.0355178247
332	0.03551174096
333	0.03550803604
334	0.03550164392
335	0.03549651576
336	0.03548874279
337	0.03548409922
338	0.03547775493
339	0.03547304844
340	0.03546635474
341	0.0354620751
342	0.03545479183
343	0.03544593895
344	0.03544187569
345	0.03543803707
346	0.03543359385
347	0.03542713788
348	0.03542144645
349	0.03541742287
350	0.03541096568
351	0.03540664148
352	0.03540238097
353	0.03539984355
354	0.03539280641
355	0.03538651573
356	0.03537962776
357	0.03537539553
358	0.03537029594
359	0.03536681931
360	0.03536225965
361	0.03535706884
362	0.03535387287
363	0.03534845745
364	0.03534254853
365	0.03533359497
366	0.03532816038
367	0.03532471175
368	0.03531981821
369	0.03531358299
370	0.03530860603
371	0.0353017077
372	0.03529440444
373	0.03529020652
374	0.03528430063
375	0.03527705548
376	0.03527211378
377	0.03526610317
378	0.03525989442
379	0.03525523632
380	0.03525121479
381	0.03524654461
382	0.03523823554
383	0.03523316396
384	0.03522867636
385	0.03522358396
386	0.03521796638
387	0.03521150753
388	0.03520563677
389	0.03519840196
390	0.03519398218
391	0.03518828126
392	0.03518264444
393	0.03517838406
394	0.03517290876
395	0.03516526493
396	0.03516072971
397	0.03515393774
398	0.03515083325
399	0.03514504038
400	0.03513858553
401	0.0351317235
402	0.03512823723
403	0.03512371922
404	0.03511835849
405	0.03511185611
406	0.03510240284
407	0.03509618027
408	0.03509005111
409	0.03508415896
410	0.03508010539
411	0.03507434501
412	0.03506868603
413	0.03506035758
414	0.03505389963
415	0.03504627383
416	0.03504105087
417	0.0350354265
418	0.03503069467
419	0.03502672313
420	0.03502305803
421	0.03501884674
422	0.03501178995
423	0.03500637677
424	0.03499850517
425	0.03499150838
426	0.03498648711
427	0.0349824641
428	0.03497686497
429	0.03497046897
430	0.03496393031
431	0.03495769448
432	0.03495076968
433	0.03494309419
434	0.03493944658
435	0.03493383886
436	0.03492557012
437	0.03491913707
438	0.03491461689
439	0.03490804337
440	0.03490082531
441	0.03489298257
442	0.03488721715
443	0.03487993708
444	0.03487533606
445	0.03486941245
446	0.03486438899
447	0.03485953107
448	0.03485708286
449	0.03485218842
450	0.03484692214
451	0.03484059699
452	0.03483577622
453	0.03483117236
454	0.03482482876
455	0.03482044965
456	0.03481455475
457	0.03480947244
458	0.03480434989
459	0.03479793714
460	0.03479381028
461	0.0347869151
462	0.03478278647
463	0.03477776527
464	0.03477126015
465	0.03476500465
466	0.0347607658
467	0.03475416554
468	0.03474724252
469	0.03474112449
470	0.03473352271
471	0.03472874565
472	0.03472082914
473	0.03471626529
474	0.03471198379
475	0.03470696187
476	0.03470132148
477	0.03469430458
478	0.03468881255
479	0.03468452219
480	0.03468126353
481	0.03467553191
482	0.03466973035
483	0.03466367799
484	0.03465750061
485	0.03465155506
486	0.03464529067
487	0.03463816607
488	0.03463231055
489	0.03462804045
490	0.03462146231
491	0.03461458307
492	0.03461075185
493	0.03460551514
494	0.03460182406
495	0.03459694792
496	0.03459163229
497	0.0345865512
498	0.03458051931
499	0.03457523306
