Date,Open,High,Low,Close,Volume,returns,log_returns,momentum_3,momentum_5,momentum_10,momentum_20,sma20,sma50,ema12,ema26,price_vs_sma20,price_vs_sma50,atr,volatility_10,volatility_20,bb_upper,bb_lower,bb_width,bb_pct,rsi,macd,macd_signal,macd_hist,stoch_k,stoch_d,obv,volume_ratio,body_size,upper_wick,lower_wick,regime,label
2020-03-12,10039.9501953125,10040.75,9508.0,9590.150390625,1343500,-0.08301938801064712,-0.08666894981793948,-0.1273311930822859,-0.1476179547929073,-0.17882002049706724,-0.20794274141447866,11466.035107421874,11873.67203125,10922.379726647316,11363.721235430452,-0.19560534927905557,-0.2381111398270972,287.2794162896956,0.029713842029721434,0.02276242369227695,12828.900249983091,10103.169964860657,0.2842218499291746,-0.18821362371604766,12.596990761375807,-458.50179438371015,-280.09708215543696,-178.40471222827318,3.1070495697806355,6.79506569302472,-5945000,1.7188329591177445,449.7998046875,0.7998046875,82.150390625,0,HOLD
2020-03-13,9107.599609375,10159.400390625,8555.150390625,9955.2001953125,1388000,0.03806507612689369,0.03735847654239177,-0.04748144905503826,-0.11658530523449284,-0.14424966583417975,-0.1840802514545148,11353.735107421875,11829.12603515625,10773.553186618657,11257.285094224322,-0.14048285164249016,-0.1882358770370189,381.34874369757443,0.034650392813923944,0.025001055928564293,12821.858781315688,9885.611433528062,0.2949460874900523,0.02369989770679489,24.04825953936664,-501.7163202056345,-324.42092976547644,-177.29539044015803,40.49430329029931,17.475835421271672,-4557000,1.6713829851285427,847.6005859375,204.2001953125,552.44921875,0,HOLD
2020-03-16,9587.7998046875,9602.2001953125,9165.099609375,9197.400390625,897700,-0.07612100106679087,-0.07917416945110371,-0.12057293208341602,-0.16307001468116122,-0.17893182845314348,-0.24454500987499483,11204.872607421876,11767.4300390625,10531.027203367677,11101.859945466724,-0.21826517619512484,-0.2794300062284073,410.54530385756914,0.03931182503408535,0.02896534820661129,12896.59434812153,9513.15086672222,0.3678695433166188,-0.09332222566535692,18.60029660170221,-590.3075562496742,-377.59825506231607,-212.70930118735816,19.29896069833372,20.966771186137887,-5454700,1.055776072447148,390.3994140625,14.400390625,32.30078125,0,HOLD
2020-03-17,9285.400390625,9403.7998046875,8915.599609375,8967.0498046875,935600,-0.02504518409052825,-0.02536415171509603,-0.06497297336928332,-0.1420281743571583,-0.19453416229705145,-0.25974436183693983,11047.552587890625,11702.23802734375,10290.380924749941,10941.003284992761,-0.23201641883549567,-0.3050265452107156,416.0920818186356,0.03908990164675665,0.02900256997211394,12944.75885670242,9150.34631907883,0.42315060362886253,-0.04830695465340166,17.316131440749672,-671.3650379971459,-436.35161164928206,-235.01342634786386,12.759811155339436,24.184358381324156,-6390300,1.08047556630847,318.3505859375,118.3994140625,51.4501953125,0,HOLD
2020-03-18,9088.4501953125,9127.5498046875,8407.0498046875,8468.7998046875,1516600,-0.05556454027271507,-0.05716792711513327,-0.14930894019839858,-0.1902394736886336,-0.25076747931825427,-0.2969499790796828,10868.702587890624,11631.75302734375,10010.103802668575,10754.961502924296,-0.2833816879075088,-0.3734830549312959,437.83550454587595,0.03825193920681837,0.030316311246758654,13013.96155095914,8723.443624822108,0.5066264435442459,-0.05935036853786493,14.91713738019429,-766.9671671383567,-502.47472274709696,-264.4924443912597,1.896033029451901,11.318268294375018,-7906900,1.6104147088649245,619.650390625,39.099609375,61.75,0,HOLD
2020-03-19,8063.2998046875,8575.4501953125,7832.5498046875,8263.4501953125,925700,-0.024247781753128472,-0.02454659954775134,-0.10154501877122635,-0.138339873857394,-0.26553637940516395,-0.3109484931988743,10682.25009765625,11555.96302734375,9741.360380897258,10567.68760256507,-0.29271065295653753,-0.3984428724334724,459.62585355152765,0.03742662895120622,0.03020699246904118,13041.902990621964,8322.597204690535,0.5711059756381769,-0.012532989397369436,14.053007853304706,-849.5099190123728,-571.8817620001522,-277.62815701222064,11.967958651004201,8.874600945265179,-8832600,0.9701472984798535,200.150390625,312.0,230.75,0,BUY
2020-03-20,8284.4501953125,8883.0,8178.2001953125,8745.4501953125,1071500,0.058329146858465686,0.05669138794443699,-0.024712655132032357,-0.12151940455899846,-0.22393733292106666,-0.27877931422940405,10513.227587890626,11490.3650390625,9588.130170382792,10430.868757152912,-0.2021368086374378,-0.31386775779950765,477.1382786326685,0.04601846395682691,0.034184923360535364,12918.866978721591,8107.588197059659,0.550146496087845,0.13257639542399893,25.030779474072972,-866.0489990388833,-630.7152094078984,-235.33378963098482,25.355173411745113,13.07305503073374,-7761100,1.0910516454871282,461.0,137.5498046875,106.25,0,HOLD
2020-03-23,7945.7001953125,8159.25,7583.60009765625,7610.25,653500,-0.12980466070471242,-0.13903756461051203,-0.10137797851972963,-0.17256510788013513,-0.30749492788582655,-0.3700567223273534,10289.697607421875,11398.25203125,9283.818632620785,10219.301988920846,-0.35208404552043293,-0.497750012318912,526.0462657057815,0.05689764653105922,0.04248802382658023,12893.772545812597,7685.622669031152,0.6843598931416767,-0.01447206221294787,18.905970082088885,-959.6947439958203,-696.5111163254828,-263.1836276703375,0.7002260444983971,12.674452702415905,-8414600,0.6603511431097631,335.4501953125,213.5498046875,26.64990234375,0,BUY
2020-03-24,7848.2998046875,8036.9501953125,7511.10009765625,7801.0498046875,738400,0.02507142402516349,0.024762292138464665,-0.055957303510741796,-0.13003161858100498,-0.25359163954239683,-0.34053717457480226,10088.280078125,11309.13703125,9055.68621794651,10038.084720192453,-0.29319518919917015,-0.4496942481324191,526.0322537022436,0.05957087752652924,0.04377188090785607,12805.53362636312,7371.026529886882,0.696637918297964,0.07912829391268408,22.345317172172685,-1006.9067279158335,-758.590238643553,-248.31648927228048,7.476013673990424,11.177137710077979,-7676200,0.7369224704467535,47.25,188.650390625,289.94970703125,0,BUY
2020-03-25,7735.14990234375,8376.75,7714.75,8317.849609375,736900,0.06624746894667499,0.06414544603118057,-0.048894062213822975,-0.017824272481792414,-0.204672865954607,-0.29497204299295177,9914.2775390625,11228.90302734375,8942.166942683838,9909.286141502445,-0.1919279627138455,-0.34997668323886477,535.7442355806547,0.06621494204002283,0.047714232596260064,12616.99539288391,7211.559685241089,0.6498597548037398,0.20466248864444128,30.89457410539785,-991.1952582152353,-805.1112425578896,-186.08401565734573,20.80109148185633,9.659110400115049,-6939300,0.7254380783618816,582.69970703125,58.900390625,20.39990234375,0,HOLD
