Date,Close,High,Low,Open,Volume,sma20,sma50,sma_cross,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_width,bb_pos,volume_ma20,volume_ratio,day_of_week,month,future_return,label,atr,atr_ratio,returns,volatility_10,volatility_20,high_52w,low_52w,dist_52w_high,dist_52w_low,weekly_return,monthly_return,quarterly_return,obv,obv_ratio,upper_wick,lower_wick,body_size,wick_ratio,atr_20,regime_vol,trend_strength
2025-03-27,23591.94921875,23646.44921875,23412.19921875,23433.94921875,510300,22766.480078125,22998.46609375,-0.0098332703870278,66.80078267379496,177.06454513919743,28.20098338075135,148.86356175844608,23809.35080806186,21723.609348188143,0.0884090348166758,0.8957677193006355,339220.0,1.5043334709038385,3,3,-0.0291412970427047,-1,231.646484375,0.009818878560102022,0.004474827877002596,0.007207855784908109,0.007925637479563348,26277.349609375,21281.44921875,-0.10219449185495201,0.1085687340298393,0.01730433693602773,0.04605079189404626,-0.009299435118143906,2310900.0,4.370620443133139,54.5,21.75,158.0,0.20727848101134635,223.560302734375,0.9999680510658552,1.5429866273346606
2025-03-28,23519.349609375,23649.19921875,23450.19921875,23600.400390625,295400,22815.19501953125,23002.6170703125,-0.0079688449678277,64.13449559532964,190.7180942959967,60.70440556380042,130.01368873219627,23902.229102165355,21728.160936897144,0.0924374271132739,0.8238879999684281,339530.0,0.8700262127057992,4,3,-0.0577290623486794,-1,233.78571428571428,0.009940143676104267,-0.0030773044101545244,0.007184790576205495,0.00800046206529424,26277.349609375,21281.44921875,-0.10495731270462776,0.1051573305756499,0.007235388512559782,0.04309997292180956,-0.005309846063034418,2015500.0,3.3201275008030575,48.798828125,69.150390625,81.05078125,-0.25109643837947465,223.79351981026784,1.0134670280960538,1.262747890577285
2025-04-01,23165.69921875,23565.150390625,23136.400390625,23341.099609375,314300,22867.24501953125,23001.8670703125,-0.0058112664552032,53.03057738437465,171.03046667045055,82.76961778513045,88.2608488853201,23916.06341914237,21818.42661992012,0.0905492547155434,0.6422811610329345,327680.0,0.95916748046875,1,4,-0.0271888883399301,-1,246.71791294642858,0.010650138837455789,-0.015036571865236992,0.009562300024116155,0.00753396298425733,26277.349609375,21281.44921875,-0.11841568639459944,0.08853955295205569,-0.0208235315970553,0.027529254359283772,-0.020262448685121504,1701200.0,2.439958406540213,224.05078125,29.298828125,175.400390625,1.1103279327368356,224.3369210379464,1.0859107287436927,0.5547140862913618
2025-04-02,23332.349609375,23350.0,23158.44921875,23192.599609375,341000,22927.8974609375,23001.6190625,-0.0031596304185704,56.82410136218972,166.95067029948768,99.6058282880019,67.34484201148578,23936.20569751588,21919.58922435912,0.0864300641349242,0.7005597761503861,330610.0,1.0314267566014337,2,4,-0.0399959384448378,-1,245.58579799107142,0.010525549381121668,0.0071938424586863725,0.008836181984541967,0.007583706294406261,26277.349609375,21281.44921875,-0.11207370772847308,0.09637033500604161,-0.014208701201789076,0.05458381054968431,-0.017291517653509114,2042200.0,2.494853799026345,17.650390625,34.150390625,139.75,-0.11806797853224997,224.80745675223216,1.0740384102928788,0.7819259567913378
2025-04-03,23250.099609375,23306.5,23145.80078125,23150.30078125,283200,22986.269921875,23006.128046875,-0.0008541092439877,54.48515606278791,155.29042333877078,110.74274729815568,44.54767604061509,23924.848872249106,22047.69097150089,0.0807376283235918,0.6405474134034451,332105.0,0.8527423555803134,3,4,-0.0181310547140632,-1,239.36077008928572,0.010295042778774577,-0.0035251486188494496,0.009005303008613815,0.007651404510805472,26277.349609375,21281.44921875,-0.11520377987131414,0.0925054666338476,-0.010080108824194967,0.05112272034763188,-0.03880128763255686,1759000.0,1.8744472032480473,56.400390625,4.5,99.798828125,0.520050100783485,225.90584542410716,1.0481080722443816,0.5479546936551636
2025-04-04,22904.44921875,23214.69921875,22857.44921875,23190.400390625,466800,23014.62734375,23001.1100390625,0.0005901606521248,45.92930540883512,116.8119602474544,111.95658988801544,4.855370359438965,23906.15446559152,22123.10022190848,0.0778475058122504,0.4382082034854884,340150.0,1.3723357342348963,4,4,0.0185161214072251,1,251.97140066964286,0.01100098056334725,-0.014866619775066536,0.009468904045338409,0.00828177244956676,26277.349609375,21281.44921875,-0.12835770885438333,0.07626360325922059,-0.02914129704270474,0.03721468273001727,-0.04583679401993357,1292200.0,1.2673348894686256,24.298828125,47.0,285.951171875,-0.0793882806147203,227.703515625,1.1124446648787316,0.24090877312922912
2025-04-07,22161.599609375,22254.0,21743.650390625,21758.400390625,647100,22995.47236328125,22980.2350390625,0.0006875552526589,33.68632486681098,26.07516750214927,94.78030541084222,-68.70513790869295,23941.36756385126,22049.57716271124,0.0853634410189299,0.0592150412626347,353900.0,1.828482622209664,0,4,0.0575590043976512,1,272.43568638392856,0.012293141794181697,-0.03243254628305536,0.013175427800983281,0.010976520815919745,26277.349609375,21281.44921875,-0.15662728780423193,0.04135763413374802,-0.05772906234867947,-0.007865819312532385,-0.061587400253634406,645100.0,0.6144570280129921,92.400390625,14.75,403.19921875,0.1925856673669644,230.28404715401786,1.2276051782090796,1.7184961372388916
2025-04-08,22535.849609375,22697.19921875,22270.849609375,22446.75,468300,22994.63984375,22969.108046875,0.0011329413941588,42.06514384497032,-15.45736433536149,72.73277146160147,-88.19013579696296,23942.12106802929,22047.15861947071,0.0840865767834317,0.2578895377457311,362825.0,1.2907048852752705,1,4,0.0583870057733533,1,284.41768973214283,0.012620677483303047,0.016887318902814252,0.013784796067259552,0.011668681653596863,26277.349609375,21281.44921875,-0.14238498385945061,0.058943372593244815,-0.027188888339930162,-0.0003925361473725575,-0.049437139600665536,1113400.0,1.0223636305203183,161.349609375,175.900390625,89.099609375,-0.16330914750249645,234.1415318080357,1.2390910389618912,0.9439203537273839
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,383800,22991.58232421875,22960.508046875,0.001387297143054,40.07343790123171,-58.72572593927907,46.44107198142537,-105.16679792070444,23946.30802706381,22036.85662137369,0.0852465996428732,0.1897370983999286,367320.0,1.0448655123597952,2,4,0.077074369363026,1,283.18191964285717,0.012642529502430631,-0.006065856008070525,0.013665185469200264,0.011713693822755862,26277.349609375,21281.44921875,-0.14758715305771822,0.05251997457439367,-0.03999593844483784,-0.006799672292428727,-0.054447279033555174,729600.0,0.6492691717279584,8.3984375,45.900390625,61.150390625,-0.6132741384166216,237.94098074776784,1.2207554948830293,1.2096274778875669
2025-04-11,22828.55078125,22923.900390625,22695.400390625,22695.400390625,402200,23008.11484375,22957.9340625,0.0021981588639089,48.34678565823744,-57.7020381894763,25.61244994724504,-83.31448813672134,23939.23210669488,22076.997580805124,0.081574802699227,0.4035760211704765,370035.0,1.086924209872039,4,4,0.0586414455993207,1,282.1640625,0.012360139073381416,0.019170387409190415,0.01566216118530291,0.01247918068169322,26277.349609375,21281.44921875,-0.13124606854926374,0.07269719024289603,-0.01813105471406329,0.016395595214264258,-0.029666513027862162,1131800.0,0.9747485186716274,95.349609375,0.0,133.150390625,0.71610461619165,241.63096400669647,1.1758964802188305,0.3759298766237424
