Date,Close,High,Low,Open,Volume,sma20,sma50,sma_cross,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_width,bb_pos,volume_ma20,volume_ratio,day_of_week,month,atr,atr_ratio,returns,volatility_10,volatility_20,high_60d,low_60d,dist_60d_high,dist_60d_low,weekly_return,monthly_return,obv,obv_ratio,upper_wick,lower_wick,body_size,wick_ratio,regime_vol,trend_strength,mom_5,mom_10,rsi_divergence,future_return,label,label_3class
2020-03-26,8641.4501953125,8749.0498046875,8304.900390625,8451.0,865600,9762.425048828125,11154.48603515625,-0.16109113110242063,35.67034601032131,-941.7757379680115,-832.4441416399139,-109.33159632809759,12391.867726139753,7132.982371516497,0.6085651407764759,0.28684173966064125,1030700.0,0.8398175996895314,3,3,593.8606305803571,0.06872233446447369,0.038904356430389475,0.06465291641054548,0.049277070459334,12430.5,7511.10009765625,-0.30481877677386265,0.15049061827959961,0.045743604797717996,-0.2675433840601603,-6377800.0,1.110533596958387,107.599609375,146.099609375,190.4501953125,-0.20215258869451494,1.9268872196833036,0.8310438905693752,0.045743604797717996,-0.09892443357717484,0.0,-0.06453203779702321,0,-1
2020-03-27,8660.25,9038.900390625,8522.900390625,8949.099609375,801500,9613.77255859375,11080.8250390625,-0.16940070788588668,35.94729362839796,-890.8245540617208,-844.1202241242753,-46.70432993744555,12137.36167710843,7090.183440079069,0.5827982144891154,0.31107808882236565,1040345.0,0.7704175057312719,4,3,615.8821149553571,0.07111597412954096,0.0021755381634551707,0.06275422949088946,0.04935938162541741,12430.5,7511.10009765625,-0.3033063834922167,0.15299355452636407,-0.009742230921189976,-0.25844500577985186,-5576300.0,0.9457110343412349,89.80078125,137.349609375,288.849609375,-0.1646144795823662,1.8360338388555704,0.7365532061900979,-0.009742230921189976,-0.13007776537956917,0.0,0.015236303260587114,0,0
2020-03-30,8281.099609375,8576.0,8244.0,8385.9501953125,593300,9467.7400390625,10999.33703125,-0.18495092009925634,32.87349668675647,-870.999303768338,-849.4960400530879,-21.503263715250114,11944.445314034872,6991.034764090129,0.5981585518349528,0.2604397177010216,1029515.0,0.5762907776962939,0,3,606.9464285714286,0.0732929752329397,-0.04378053643081892,0.059848982427875376,0.04955015825885136,12430.5,7511.10009765625,-0.33380800375085473,0.10251487820792313,0.08815079785486679,-0.28815557508126544,-6169600.0,1.021628634613267,190.0498046875,37.099609375,104.8505859375,1.4587443068960317,1.7512856651526931,0.9339779219002734,0.08815079785486679,-0.09962606196681345,2.0,0.05647201611916075,1,1
2020-03-31,8597.75,8678.2998046875,8358.0,8529.349609375,712700,9340.9900390625,10924.2450390625,-0.18414759675496487,37.66727854392541,-820.2809220496674,-843.6530164524039,23.37209440273648,11721.479835025792,6960.50024309921,0.5537471538398513,0.3438892617135247,1031110.0,0.6911968655138637,1,3,614.7464425223214,0.07150085109735936,0.03823772271336057,0.06126596386058625,0.05088638194480948,12430.5,7511.10009765625,-0.30833433892441975,0.14467253640819222,0.10212730533187697,-0.23246367755038277,-5456900.0,0.8928342074499113,80.5498046875,171.349609375,68.400390625,-1.327474943585858,1.596559199341129,0.6086317044373296,0.10212730533187697,-0.04118409206274842,2.0,0.05980057464162125,1,1
2020-04-01,8253.7998046875,8588.099609375,8198.349609375,8584.099609375,506300,9188.5150390625,10844.8300390625,-0.20067302808330117,34.763225629481795,-798.63398987849,-834.6492111376211,36.01522125913118,11433.509864017778,6943.520214107223,0.5439906171895034,0.29182240778804,1021600.0,0.4955951448707909,2,4,604.5321568080357,0.07324289068226608,-0.04000467509668226,0.059950388006492876,0.050851551439109466,12430.5,7511.10009765625,-0.3360041989712803,0.09888028349708729,-0.0077002840512180315,-0.25860189039657766,-5963200.0,0.9548873685432573,4.0,55.4501953125,330.2998046875,-0.15576816753198441,1.5329921710543537,0.8116256713942864,-0.0077002840512180315,-0.025387304571894198,0.0,0.08966171002441947,1,1
2020-04-03,8083.7998046875,8356.5498046875,8055.7998046875,8356.5498046875,697000,9030.155029296875,10763.10904296875,-0.21437369251363678,33.39287368391359,-786.1341542471855,-824.946199759534,38.812045512348504,11111.741083318537,6948.568975275213,0.5150018813713387,0.2726840975944762,1016565.0,0.6856423347252758,4,4,511.42501395089283,0.06326542298268398,-0.020596574186770744,0.05980324286653121,0.05081647243130155,12430.5,7511.10009765625,-0.3496802377468726,0.07624711421565986,-0.06453203779702321,-0.2848283293932332,-6660200.0,1.0450765974206528,0.0,28.0,272.75,-0.10265811182363829,1.2600218155565988,0.8862405408196926,-0.06453203779702321,-0.021740361033083744,2.0,0.10409708557008601,1,1
2020-04-07,8792.2001953125,8819.400390625,8360.9501953125,8446.2998046875,814200,8906.3150390625,10696.8150390625,-0.20364640934297568,43.40457594951645,-710.8714694805258,-802.1312537037325,91.25978422320668,10717.528518365049,7095.101559759952,0.412004603868821,0.4684976826160926,989650.0,0.8227151012984388,1,4,512.9499860491071,0.05834148161487301,0.08763210467115035,0.06360440034742045,0.05571284155767431,12430.5,7511.10009765625,-0.29269134827138893,0.1705609139806301,0.015236303260587114,-0.21854055681161677,-5846000.0,0.8955475386229771,27.2001953125,85.349609375,345.900390625,-0.16811028734967012,1.1138527635405715,0.12281864357020558,0.015236303260587114,0.005345636754647387,0.0,0.022815632596940638,0,0
2020-04-08,8748.75,9131.7001953125,8653.900390625,8688.900390625,896500,8794.280029296875,10628.183046875,-0.20961886184633513,42.97786898542604,-647.2699916457586,-771.1590012921378,123.88900964637912,10332.903383604393,7255.656674989357,0.3517355860682995,0.4852042966950263,943925.0,0.9497576608311041,2,4,512.2071010044643,0.058546318160247385,-0.004941902407507137,0.04400048751252476,0.05562757511844819,12430.5,7511.10009765625,-0.2961867986002172,0.1647761161816954,0.05647201611916075,-0.22364451149170295,-6742500.0,1.015888848124429,382.9501953125,35.0,59.849609375,5.813742126979192,1.0738379044025366,0.057684270920082596,0.05647201611916075,0.14960086725140442,0.0,0.05920845835119293,1,1
2020-04-09,9111.900390625,9128.349609375,8904.5498046875,8973.0498046875,742100,8727.3025390625,10565.4560546875,-0.20173108098462403,47.61334509508776,-561.0942158376547,-729.1460442012412,168.05182836358654,10076.506688399333,7378.098389725668,0.2961411103055942,0.642527671498616,902755.0,0.8220392022198714,3,4,476.728515625,0.05231932913967033,0.04150883161880259,0.04472399353649319,0.0559563486279583,12430.5,7511.10009765625,-0.26697233493222317,0.21312461186188436,0.05980057464162125,-0.17085020372432824,-6000400.0,0.9049203270767292,16.44921875,68.5,138.8505859375,-0.3748690068405937,0.9309966872420234,0.5556751610157973,0.05980057464162125,0.16803515151894488,0.0,0.016456415492017262,0,0
2020-04-13,8993.849609375,9112.0498046875,8912.400390625,9103.9501953125,644000,8654.075,10502.953046875,-0.2055713767937333,46.29581757650639,-496.6005026308776,-682.6369358871685,186.03643325629093,9755.788329537543,7552.361670462458,0.24499260658953861,0.6542028222158408,874030.0,0.736816814068167,0,4,437.9248744419643,0.04869159408508238,-0.01295567073707915,0.041864449166847645,0.05596263021053423,12430.5,7511.10009765625,-0.2764692000020112,0.1974077688275549,0.08966171002441947,-0.13946395559452962,-6644400.0,0.9890738039239038,8.099609375,81.44921875,110.1005859375,-0.6662054406864977,0.8444216661326124,0.6011932782097115,0.08966171002441947,0.08127100533749543,0.0,-0.001378654814238267,0,0
